Appliance Type,Model,Brand,Power (W),Voltage (V),Current (A),Operational Hours,Power Factor
0,2,1,9.72,236.21,0.041,8,0.89
0,2,1,50.58,237.42,0.213,5,0.81
0,2,1,91.41,130.82,0.699,5,0.99
0,2,1,74.21,234.11,0.317,7,0.92
0,2,1,15.77,168.19,0.094,6,0.96
0,2,1,79.1,228.77,0.346,7,0.83
0,2,1,38.39,174.56,0.22,1,0.81
0,2,1,77.54,115.53,0.671,4,0.98
0,2,1,26.78,208.87,0.128,1,0.88
0,2,1,94.37,226.67,0.416,5,0.97
0,2,1,60.65,114.44,0.53,5,0.85
0,2,1,67.06,152.37,0.44,2,0.91
0,2,1,65.64,148.7,0.441,1,1.0
0,2,1,67.74,121.01,0.56,4,0.91
0,2,1,55.18,194.35,0.284,4,0.83
0,2,1,82.93,118.62,0.699,1,0.94
0,2,1,21.33,219.98,0.097,2,0.94
0,2,1,92.04,120.94,0.761,2,0.91
0,2,1,38.12,123.7,0.308,6,0.94
0,2,1,95.01,153.11,0.621,6,0.81
0,2,1,83.86,215.97,0.388,1,0.96
0,2,1,97.82,146.82,0.666,5,0.9
0,2,1,49.53,171.27,0.289,7,0.94
0,2,1,27.2,172.75,0.157,1,0.94
0,2,1,26.64,218.24,0.122,6,0.84
0,3,2,44.69,220.17,0.203,4,0.85
0,3,2,9.88,229.81,0.043,8,0.95
0,3,2,96.06,145.56,0.66,3,0.99
0,3,2,77.76,223.68,0.348,7,0.87
0,3,2,15.45,112.59,0.137,8,0.92
0,3,2,18.59,177.03,0.105,5,0.8
0,3,2,40.27,212.36,0.19,5,0.99
0,3,2,84.94,145.96,0.582,4,0.82
0,3,2,13.67,210.24,0.065,3,0.81
0,3,2,42.74,199.83,0.214,5,0.97
0,3,2,48.21,187.48,0.257,6,0.86
0,3,2,64.77,140.62,0.461,8,0.86
0,3,2,96.37,135.33,0.712,5,0.81
0,3,2,11.74,142.28,0.083,3,0.96
0,3,2,92.08,216.15,0.426,2,0.82
0,3,2,14.66,197.76,0.074,7,0.98
0,3,2,21.31,177.3,0.12,3,0.81
0,3,2,74.32,164.48,0.452,2,0.87
0,3,2,91.38,207.67,0.44,1,1.0
0,3,2,62.29,149.03,0.418,6,0.83
0,3,2,10.41,230.83,0.045,6,0.83
0,3,2,61.9,202.66,0.305,1,0.98
0,3,2,14.46,170.66,0.085,2,0.94
0,3,2,52.51,143.92,0.365,4,0.98
0,3,2,79.7,236.3,0.337,2,0.9
0,3,2,74.94,199.24,0.376,1,0.87
0,3,2,87.84,152.91,0.574,4,0.92
0,3,2,84.58,132.3,0.639,8,0.87
0,3,2,29.82,155.63,0.192,1,0.82
0,3,2,46.21,201.07,0.23,7,0.98
0,3,2,30.99,229.7,0.135,5,0.99
0,3,2,38.77,222.3,0.174,6,0.84
0,3,2,99.61,195.96,0.508,4,0.98
0,3,2,97.16,184.57,0.526,4,0.81
0,3,2,25.27,212.17,0.119,1,0.98
0,3,2,81.72,176.6,0.463,5,0.97
0,3,2,83.39,123.56,0.675,8,0.9
0,3,2,86.0,229.25,0.375,6,0.95
0,3,2,11.6,138.97,0.083,6,0.98
0,3,2,93.67,199.19,0.47,2,0.89
0,3,2,85.55,175.11,0.489,6,0.82
0,3,2,91.69,224.22,0.409,2,0.87
0,3,2,48.2,223.47,0.216,1,0.93
0,3,2,99.37,172.15,0.577,6,0.93
0,3,2,83.26,166.99,0.499,2,0.91
0,3,2,45.92,237.15,0.194,7,0.96
0,3,2,55.98,225.87,0.248,2,0.85
0,3,2,27.37,130.87,0.209,8,0.95
0,3,2,36.43,225.07,0.162,8,0.94
0,3,2,94.27,156.42,0.603,8,0.8
0,3,2,54.56,194.57,0.28,8,0.83
0,3,2,90.17,217.42,0.415,4,0.98
0,3,2,20.92,226.68,0.092,2,0.81
0,3,2,52.71,165.09,0.319,3,0.89
0,3,2,99.45,159.48,0.624,1,0.99
0,3,2,88.26,174.58,0.506,5,0.91
0,3,2,10.4,182.21,0.057,7,0.85
0,3,2,54.84,233.98,0.234,5,0.81
0,3,2,6.4,139.93,0.046,6,0.8
0,3,2,39.9,135.86,0.294,6,0.97
0,3,2,79.87,164.24,0.486,1,0.81
0,3,2,71.47,225.02,0.318,4,0.96
0,3,2,20.28,223.32,0.091,2,0.87
0,3,2,74.39,226.92,0.328,4,0.86
0,3,2,26.04,162.34,0.16,5,0.97
0,3,2,74.13,209.31,0.354,4,1.0
0,3,2,36.79,172.13,0.214,1,0.88
0,3,2,49.08,199.93,0.245,8,0.87
0,3,2,18.96,223.5,0.085,4,0.87
0,3,2,11.68,166.76,0.07,8,0.9
0,3,2,7.07,159.79,0.044,8,0.86
0,3,2,84.79,236.3,0.359,6,0.82
0,3,2,23.72,111.64,0.212,7,0.89
0,3,2,58.24,154.89,0.376,7,0.81
0,3,2,60.7,163.3,0.372,8,0.93
0,3,2,38.49,153.79,0.25,1,0.88
0,3,2,92.59,202.8,0.457,6,0.94
0,3,2,43.05,163.96,0.263,8,0.96
0,3,2,9.34,119.22,0.078,1,0.88
0,3,2,88.41,232.58,0.38,1,0.89
0,3,2,10.43,124.12,0.084,1,0.9
0,3,2,5.62,151.25,0.037,2,0.85
0,3,2,26.19,158.49,0.165,4,0.83
0,3,2,47.39,168.97,0.28,6,0.93
0,3,2,46.27,191.84,0.241,7,0.95
0,3,2,89.55,230.3,0.389,7,0.95
0,3,2,14.41,110.75,0.13,4,0.82
0,3,2,14.09,132.32,0.106,8,0.96
0,3,2,41.11,175.95,0.234,6,0.88
0,3,2,45.97,234.49,0.196,8,0.97
0,3,2,63.27,129.12,0.49,1,0.99
0,3,2,36.89,119.58,0.308,4,0.99
0,3,2,22.15,199.33,0.111,8,0.99
0,3,2,69.97,133.05,0.526,4,0.82
0,3,2,95.5,236.85,0.403,6,0.84
0,3,2,32.52,200.36,0.162,8,0.88
0,3,2,89.88,119.55,0.752,1,0.88
0,3,2,70.06,128.33,0.546,1,0.83
0,3,2,80.86,209.84,0.385,4,0.94
0,3,2,37.71,144.57,0.261,3,0.98
0,4,1,14.63,223.26,0.066,8,0.83
0,4,1,70.29,179.71,0.391,8,0.85
0,4,1,17.72,130.06,0.136,3,0.85
0,4,1,42.03,151.17,0.278,4,0.89
0,4,1,93.35,133.54,0.699,6,0.85
0,4,1,78.12,215.26,0.363,2,0.92
0,4,1,13.48,201.68,0.067,6,0.88
0,4,1,59.87,173.21,0.346,1,0.96
0,4,1,51.19,165.67,0.309,4,0.9
0,4,1,46.76,211.97,0.221,1,0.98
0,4,1,59.35,182.63,0.325,6,0.85
0,4,1,57.33,174.37,0.329,4,0.81
0,4,1,63.91,169.65,0.377,1,0.97
0,4,1,10.29,160.17,0.064,4,0.94
0,4,1,23.22,147.43,0.157,5,0.81
0,4,1,25.42,199.35,0.128,7,0.91
0,4,1,40.92,117.5,0.348,3,0.99
0,4,1,10.1,207.06,0.049,6,0.89
0,4,1,97.72,112.26,0.87,2,0.93
0,4,1,73.36,111.3,0.659,8,0.97
0,4,1,85.56,220.18,0.389,2,0.81
0,4,1,10.32,133.01,0.078,6,0.95
0,4,1,66.97,164.43,0.407,4,0.92
0,4,1,79.6,226.04,0.352,8,0.88
0,4,1,88.9,116.29,0.764,4,0.9
0,4,1,67.85,141.3,0.48,5,0.86
0,4,1,32.15,167.79,0.192,7,0.92
0,4,1,73.85,148.36,0.498,1,0.96
0,4,1,95.71,189.62,0.505,2,0.98
0,4,1,14.48,222.43,0.065,7,0.94
0,4,1,30.79,158.65,0.194,1,0.83
0,4,1,70.2,128.79,0.545,7,0.84
0,4,1,14.97,153.98,0.097,4,0.94
0,4,1,61.99,124.5,0.498,3,0.93
0,4,1,51.79,222.54,0.233,5,0.82
0,4,1,26.84,235.6,0.114,7,0.91
0,4,1,33.92,148.24,0.229,2,0.93
0,4,1,58.22,204.45,0.285,2,0.86
0,4,1,34.16,225.11,0.152,1,0.92
0,4,1,75.45,117.05,0.645,6,0.95
0,4,1,97.28,219.11,0.444,1,0.92
0,4,1,86.5,189.97,0.455,8,0.9
0,4,1,43.35,117.3,0.37,2,0.97
0,4,1,9.19,199.4,0.046,5,0.99
0,4,1,65.02,239.98,0.271,8,0.93
0,4,1,82.62,237.5,0.348,6,0.95
0,4,1,38.59,229.13,0.168,5,0.85
0,4,1,52.56,163.01,0.322,2,0.8
0,4,1,43.9,152.66,0.288,2,0.98
0,4,1,81.18,225.96,0.359,1,0.8
0,4,1,64.31,189.59,0.339,4,0.85
0,4,1,30.4,154.65,0.197,3,0.97
0,4,1,69.29,199.55,0.347,2,0.95
0,4,1,33.75,176.5,0.191,2,0.83
0,4,1,26.27,121.02,0.217,1,0.94
0,4,1,85.23,239.85,0.355,1,0.88
0,4,1,91.7,162.37,0.565,5,0.9
0,4,1,39.55,232.77,0.17,7,0.82
0,4,1,6.12,183.87,0.033,5,0.91
0,4,1,48.71,205.8,0.237,6,0.83
0,4,1,52.0,193.58,0.269,7,0.99
0,4,1,36.8,194.41,0.189,1,0.96
0,4,1,59.29,233.83,0.254,3,0.83
0,4,1,23.48,184.36,0.127,5,0.8
0,4,1,16.09,211.77,0.076,4,0.85
0,4,1,32.62,218.68,0.149,2,0.97
0,4,1,60.58,227.7,0.266,7,0.82
0,4,1,77.58,188.56,0.411,2,0.87
0,4,1,56.87,164.99,0.345,6,0.82
0,4,1,26.52,226.01,0.117,5,0.89
0,4,1,14.06,233.14,0.06,3,1.0
0,4,1,75.62,171.7,0.44,5,0.83
0,4,1,97.13,138.11,0.703,8,0.88
0,4,1,6.87,171.04,0.04,5,0.89
0,4,1,19.9,189.81,0.105,4,0.89
0,4,1,99.21,177.13,0.56,7,0.85
0,4,1,59.07,187.84,0.314,4,0.82
0,4,1,38.67,219.8,0.176,7,0.97
0,4,1,9.83,123.54,0.08,2,0.87
0,4,1,92.23,135.8,0.679,5,0.87
0,4,1,92.01,196.15,0.469,3,0.91
0,4,1,16.8,152.92,0.11,1,0.91
0,4,1,32.94,134.22,0.245,2,0.95
0,4,1,31.4,187.73,0.167,8,0.95
0,4,1,12.87,127.09,0.101,3,0.89
0,4,1,54.72,156.42,0.35,5,0.84
0,4,1,17.95,220.21,0.082,2,0.98
0,4,1,69.68,179.09,0.389,8,0.87
0,4,1,33.71,216.23,0.156,4,0.93
0,4,1,78.9,227.31,0.347,6,0.88
0,4,1,58.62,167.5,0.35,1,0.83
0,4,1,35.49,214.32,0.166,4,0.87
0,4,1,50.6,174.51,0.29,8,0.8
0,4,1,45.68,116.95,0.391,3,0.92
0,4,1,53.82,156.55,0.344,2,0.81
0,4,1,80.44,218.63,0.368,8,0.9
0,4,1,84.38,123.51,0.683,8,0.9
0,4,1,98.85,228.33,0.433,4,0.85
0,4,1,11.4,110.08,0.104,4,0.89
0,4,1,79.31,184.95,0.429,6,0.83
0,5,0,71.33,116.18,0.614,2,0.88
0,5,0,58.39,110.81,0.527,4,1.0
0,5,0,36.91,221.33,0.167,3,0.84
0,5,0,94.57,148.96,0.635,7,0.94
0,5,0,6.59,220.92,0.03,2,0.93
0,5,0,31.23,218.77,0.143,1,1.0
0,5,0,11.13,127.98,0.087,6,0.84
0,5,0,14.96,211.91,0.071,8,0.8
0,5,0,33.03,191.75,0.172,6,0.93
0,5,0,17.18,125.76,0.137,7,0.96
0,5,0,46.83,218.87,0.214,1,0.99
0,5,0,29.9,162.64,0.184,5,0.84
0,5,0,29.44,219.6,0.134,3,0.83
0,5,0,27.43,111.53,0.246,7,0.83
0,5,0,62.27,228.26,0.273,7,0.95
0,5,0,20.61,223.56,0.092,7,0.92
0,5,0,40.01,201.9,0.198,5,0.98
0,5,0,86.91,110.93,0.783,3,0.9
0,5,0,5.0,172.86,0.029,7,0.85
0,5,0,67.03,133.32,0.503,5,0.92
0,5,0,87.13,193.39,0.451,3,0.92
0,5,0,37.56,206.97,0.181,1,0.94
0,5,0,94.22,226.15,0.417,2,0.97
0,5,0,40.96,235.85,0.174,3,0.99
0,5,0,12.78,164.95,0.077,6,0.82
0,5,0,99.05,124.76,0.794,1,0.95
0,5,0,82.54,149.11,0.554,1,0.9
0,5,0,50.22,205.32,0.245,7,0.92
0,5,0,68.8,235.58,0.292,2,0.93
0,5,0,5.11,140.7,0.036,7,0.81
0,5,0,34.66,154.95,0.224,8,0.88
0,5,0,21.23,165.45,0.128,3,0.86
0,5,0,44.88,204.64,0.219,7,0.9
0,5,0,91.22,214.65,0.425,1,0.88
0,5,0,42.41,194.83,0.218,3,0.82
0,5,0,50.37,158.79,0.317,4,0.9
0,5,0,36.9,232.22,0.159,8,0.95
0,5,0,7.16,111.89,0.064,5,0.8
0,5,0,51.09,182.61,0.28,6,0.9
0,5,0,25.17,155.93,0.161,2,0.94
0,5,0,22.85,167.41,0.136,6,0.87
0,5,0,42.79,150.85,0.284,7,0.92
0,5,0,84.19,220.8,0.381,6,0.84
0,5,0,58.97,137.0,0.43,1,0.97
0,5,0,70.08,111.86,0.626,5,0.82
0,5,0,60.0,130.45,0.46,5,0.92
0,5,0,57.1,210.03,0.272,5,0.89
0,5,0,83.74,168.78,0.496,3,0.93
0,5,0,35.93,219.37,0.164,2,0.85
0,5,0,5.19,239.33,0.022,3,0.87
0,5,0,15.28,139.83,0.109,8,0.81
0,5,0,36.99,120.48,0.307,7,0.98
0,5,0,23.41,193.16,0.121,5,0.9
0,5,0,7.82,190.77,0.041,5,0.82
0,5,0,68.64,211.07,0.325,3,0.86
0,5,0,38.5,194.52,0.198,7,0.95
0,5,0,34.43,232.37,0.148,3,0.85
0,5,0,31.61,179.5,0.176,6,0.83
0,5,0,30.49,122.26,0.249,3,0.98
0,5,0,41.81,171.88,0.243,2,0.81
0,5,0,75.21,230.21,0.327,5,0.84
0,5,0,91.51,151.86,0.603,7,0.88
0,5,0,73.83,180.07,0.41,1,0.91
0,5,0,86.15,227.11,0.379,2,0.89
0,5,0,46.28,173.57,0.267,7,0.99
0,5,0,48.15,203.46,0.237,2,0.81
0,5,0,48.88,212.25,0.23,2,0.8
0,5,0,81.84,230.27,0.355,6,0.96
0,5,0,37.63,152.69,0.246,2,0.83
0,5,0,22.34,210.81,0.106,8,0.92
0,5,0,55.99,129.55,0.432,4,0.9
0,5,0,43.61,129.3,0.337,3,0.84
0,5,0,59.62,239.92,0.248,3,0.96
0,5,0,38.99,215.89,0.181,3,0.93
0,5,0,57.04,224.05,0.255,2,0.99
0,5,0,48.21,175.83,0.274,2,0.97
0,5,0,61.81,125.32,0.493,6,0.83
0,5,0,83.39,224.87,0.371,4,0.99
0,5,0,16.3,188.34,0.087,7,0.95
